1	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
5	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
6	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
7	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
8	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
9	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
10	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
11	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
12	-2e-05	-1e-05	-3e-05	1e-05	-2e-05	-1e-05	1e-05	1e-05	1
13	-2e-05	-2e-05	-2e-05	-3e-05	-1e-05	-2e-05	-1e-05	-1e-05	1
14	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
16	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
17	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
18	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
19	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
20	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
21	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
22	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
23	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
24	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
25	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
26	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
27	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
28	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
29	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
30	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
31	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
33	-3e-05	0	0	-2e-05	0	-2e-05	-1e-05	-1e-05	1
