1	-1e-05	-2e-05	0	3e-05	-4e-05	-2e-05	-2e-05	-1e-05	0
4	1e-05	-2e-05	-2e-05	-9e-05	-0.00012	-1e-05	0	0	0
5	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
6	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
7	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
8	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
9	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
10	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
11	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
12	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
13	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
14	-1e-05	2e-05	1e-05	3e-05	-0.00017	-2e-05	-1e-05	-2e-05	0
15	0	-1e-05	-1e-05	8e-05	0	-2e-05	0	-1e-05	0
16	0	-1e-05	-1e-05	8e-05	0	-2e-05	0	-1e-05	0
18	0	-1e-05	-1e-05	8e-05	0	-2e-05	0	-1e-05	0
20	0	-1e-05	-1e-05	8e-05	0	-2e-05	0	-1e-05	0
21	0	-1e-05	-1e-05	8e-05	0	-2e-05	0	-1e-05	0
22	0	-1e-05	-1e-05	8e-05	0	-2e-05	0	-1e-05	0
23	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
24	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
25	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
26	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
27	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
28	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
29	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
31	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
32	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
33	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
34	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
35	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
40	-1e-05	-2e-05	-1e-05	-1e-05	0.00022	3e-05	0	-1e-05	0
41	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
42	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
43	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
44	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
45	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
46	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
47	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
48	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
49	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
50	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
51	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
52	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
53	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
54	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
55	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
56	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
57	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
58	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
59	-2e-05	0	-3e-05	-3e-05	-8e-05	-2e-05	-1e-05	0	0
60	0	-1e-05	0	0	5e-05	-2e-05	0	-1e-05	0
61	0	-1e-05	0	0	5e-05	-2e-05	0	-1e-05	0
62	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
63	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
64	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
65	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
66	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
67	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
68	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
69	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
70	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
71	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
72	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
73	0	-1e-05	-2e-05	-6e-05	-2e-05	-1e-05	-2e-05	-1e-05	0
74	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
75	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
76	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
77	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
78	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
79	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
80	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
81	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
82	-2e-05	-2e-05	0	0	-2e-05	-3e-05	-2e-05	-2e-05	0
83	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
84	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
85	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
86	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
88	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
89	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
90	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
91	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
92	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
93	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
94	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
95	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
96	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
97	-1e-05	-2e-05	0	0	-0.00018	-2e-05	-1e-05	-1e-05	0
98	-1e-05	0	1e-05	-0.00012	-0.00017	0	-1e-05	-2e-05	0
99	-1e-05	-1e-05	-1e-05	-1e-05	-2e-05	-2e-05	-1e-05	-1e-05	0
100	-1e-05	-1e-05	-1e-05	-1e-05	-2e-05	-2e-05	-1e-05	-1e-05	0
101	-1e-05	-1e-05	-1e-05	-1e-05	-2e-05	-2e-05	-1e-05	-1e-05	0
102	-1e-05	-1e-05	-1e-05	-1e-05	-2e-05	-2e-05	-1e-05	-1e-05	0
